Adress,City,Street name,Postal code,Latitude,Longitude,Rooms,Property type,Elevator,Balcony/Terrace,Energy label,Price,Province,Days on Market,Link,Off. vurdering,Home size,Monthly expense,Ground size
Østergade 33,Vissenbjerg,Østergade 33,5492,55.384865,10.142091,2 værelser,Villa,,,D,1595000,Fyn,Til salg i alt:44dage,https://www.boligsiden.dk/addresses/0a3f50b6-09d2-32b8-e044-0003ba298018,1.416.000,114,1.065,992
Birkesvinget 3,Harlev J,Birkesvinget 3,8462,56.149773,9.999588,6 værelser,Villa,,,D,2398000,Østjylland,Til salg i alt:256dage,https://www.boligsiden.dk/addresses/0a3f50c2-7e4e-32b8-e044-0003ba298018,2.416.000,133,2.269,733
Uglevejen 16,Horslunde,Uglevejen 16,4913,54.946354,11.142133,7 værelser,Villa,,,C,1495000,Vest- og Sydsjælland,49 dage,https://www.boligsiden.dk/addresses/0a3f50b1-0962-32b8-e044-0003ba298018,2.691.000,211,2.351,2149
Pilevænget 1,Kirke Såby,Pilevænget 1,4060,55.64018,11.877614,4 værelser,Villa,,,C,2495000,Østsjælland,216 dage,https://www.boligsiden.dk/addresses/0a3f50ab-5188-32b8-e044-0003ba298018,2.113.000,157,2.647,800
Jernbanevej 14,Horslunde,Jernbanevej 14,4913,54.923054,11.191839,7 værelser,Villa,,,B,795000,Vest- og Sydsjælland,61 dage,https://www.boligsiden.dk/addresses/0a3f50b1-0858-32b8-e044-0003ba298018,553.000,173,1.302,691
Hvedetoften 16,Spentrup,Hvedetoften 16,8981,56.515923,10.086881,6 værelser,Villa,,,C,1695000,Østjylland,1 dag,https://www.boligsiden.dk/addresses/0a3f50c0-6cf8-32b8-e044-0003ba298018,1.512.000,224,1.419,965
Lyngevej 2,Knebel,Lyngevej 2,8420,56.213737,10.487916,3 værelser,Villa/Fritidsbolig,,,E,1195000,Østjylland,42 dage,https://www.boligsiden.dk/addresses/0a3f50bf-7fa3-32b8-e044-0003ba298018,990.000,117,1.542,880
Kystvejen 280,Strøby,Kystvejen 280,4671,55.401867,12.297707,6 værelser,Villa,,,B,6495000,Vest- og Sydsjælland,372 dage,https://www.boligsiden.dk/addresses/0a3f50ac-7adf-32b8-e044-0003ba298018,7.733.000,224,5.825,1006
Svanevej 21,Vissenbjerg,Svanevej 21,5492,55.388638,10.139735,3 værelser,Villa,,,C,1595000,Fyn,44 dage,https://www.boligsiden.dk/addresses/0a3f50b6-0783-32b8-e044-0003ba298018,1.105.000,88,1.585,804
Teglbakken 22,Thisted,Teglbakken 22,7700,56.958317,8.660709,3 værelser,Villa,,,D,1575000,Nordjylland,173 dage,https://www.boligsiden.dk/addresses/0a3f50c6-3222-32b8-e044-0003ba298018,1.139.000,140,1.457,854
Engvej 25,Hirtshals,Engvej 25,9850,57.573307,9.974416,4 værelser,Villa,,,C,1350000,Nordjylland,19 dage,https://www.boligsiden.dk/addresses/0a3f50c7-e21a-32b8-e044-0003ba298018,669.000,141,1.226,825
Langdalsvej 25,Brabrand,Langdalsvej 25,8220,56.160606,10.101753,6 værelser,Villa,,,C,5498000,Østjylland,223 dage,https://www.boligsiden.dk/addresses/0a3f50c3-7b6c-32b8-e044-0003ba298018,4.299.000,194,3.3,925
Dallerup Kirkevej 3,Sorring,Dallerup Kirkevej 3,8641,56.17492,9.782375,6 værelser,Villa/Landejendom,,,D,2695000,Østjylland,753 dage,https://www.boligsiden.dk/addresses/0a3f50bf-b18b-32b8-e044-0003ba298018,2.750.000,138,3.345,15008
Egevej 3,Tønder,Egevej 3,6270,54.978786,8.8755045,4 værelser,Villa,,,C,795000,Sydjylland,62 dage,https://www.boligsiden.dk/addresses/0a3f50b7-ee6f-32b8-e044-0003ba298018,651.000,150,1.105,784
Ved Hegnet 9,Silkeborg,Ved Hegnet 9,8600,56.184563,9.520182,7 værelser,Villa,,,D,2095000,Østjylland,5 dage,https://www.boligsiden.dk/addresses/0a3f50c2-1356-32b8-e044-0003ba298018,2.802.000,165,2.862,711
Genner Bygade 62,Rødekro,Genner Bygade 62,6230,55.119373,9.4318495,5 værelser,Villa,,,C,1345000,Sydjylland,201 dage,https://www.boligsiden.dk/addresses/0a3f50b7-54d9-32b8-e044-0003ba298018,1.120.000,196,1.585,711
Mågevej 9,Rønnede,Mågevej 9,4683,55.25095,12.031276,4 værelser,Villa,,,D,1795000,Vest- og Sydsjælland,Til salg i alt:36dage,https://www.boligsiden.dk/addresses/0a3f50b1-2f40-32b8-e044-0003ba298018,1.706.000,130,1.76,804
Kløvermarksvej 23,Hadsten,Kløvermarksvej 23,8370,56.334465,10.03853,5 værelser,Villa,,,D,2250000,Østjylland,358 dage,https://www.boligsiden.dk/addresses/0a3f50bf-f44e-32b8-e044-0003ba298018,2.065.000,161,2.273,857
Sommerfuglevej 6,Kolding,Sommerfuglevej 6,6000,55.50651,9.506396,6 værelser,Villa,,,E,1395000,Sydjylland,347 dage,https://www.boligsiden.dk/addresses/0a3f50bc-44f4-32b8-e044-0003ba298018,1.899.000,147,2.175,1363
Østergade 7,Bramming,Østergade 7,6740,55.462856,8.707091,5 værelser,Villa,,,D,1348000,Sydjylland,50 dage,https://www.boligsiden.dk/addresses/0a3f50b8-b47d-32b8-e044-0003ba298018,1.155.000,120,1.466,683
Lavendelvej 4,Snedsted,Lavendelvej 4,7752,56.845905,8.519981,5 værelser,Villa,,,C,1145000,Nordjylland,70 dage,https://www.boligsiden.dk/addresses/0a3f50c5-f07e-32b8-e044-0003ba298018,808.000,158,1.46,853
Anerbjergevej 26,Hemmet,Anerbjergevej 26,6893,55.812286,8.2950325,3 værelser,Villa/Fritidsbolig,,,G,425000,Vestjylland,27 dage,https://www.boligsiden.dk/addresses/0a3f50bd-443a-32b8-e044-0003ba298018,366.000,92,817.0,473
Tinghøjvej 2B,Brande,Tinghøjvej 2B,7330,55.94666,9.136824,5 værelser,Villa,,,C,2685000,Vestjylland,12 dage,https://www.boligsiden.dk/addresses/0a3f50bd-2d14-32b8-e044-0003ba298018,1.801.000,147,1.74,830
Langesøvej 66,Vissenbjerg,Langesøvej 66,5492,55.402447,10.193287,3 værelser,Villa,,,C,1195000,Fyn,50 dage,https://www.boligsiden.dk/addresses/0a3f50b6-036b-32b8-e044-0003ba298018,841.000,128,1.616,1614
Aastrupvej 11B,Haderslev,Aastrupvej 11B,6100,55.254417,9.492677,12 værelser,Villa,,,,13500000,Sydjylland,459 dage,https://www.boligsiden.dk/addresses/fe621177-93e1-42f6-9e6f-00f9bf82b59f,,525,4.314,1089
Louisevænget 27,Nakskov,Louisevænget 27,4900,54.8438,11.173358,4 værelser,Villa,,,C,1050000,Vest- og Sydsjælland,22 dage,https://www.boligsiden.dk/addresses/0a3f50b0-0b54-32b8-e044-0003ba298018,1.003.000,132,1.452,869
Ørslevklostervej 270,Højslev,Ørslevklostervej 270,7840,56.603745,9.242295,4 værelser,Villa,,,D,695000,Vestjylland,Til salg i alt:219dage,https://www.boligsiden.dk/addresses/0a3f50c5-bfdc-32b8-e044-0003ba298018,516.000,141,996.0,680
Fælledvej 32,Glesborg,Fælledvej 32,8585,56.51274,10.61057,4 værelser,Villa/Fritidsbolig,,,F,645000,Østjylland,680 dage,https://www.boligsiden.dk/addresses/0a3f50c0-7e0a-32b8-e044-0003ba298018,811.000,102,1.588,2546
Markedsvej 14,Brønderslev,Markedsvej 14,9700,57.27745,9.952619,3 værelser,Villa,,,E,875000,Nordjylland,771 dage,https://www.boligsiden.dk/addresses/0a3f50c6-f118-32b8-e044-0003ba298018,1.003.000,99,1.358,924
Tranekærvej 12,Herning,Tranekærvej 12,7400,56.149216,8.940445,6 værelser,Villa,,,D,1695000,Vestjylland,72 dage,https://www.boligsiden.dk/addresses/0a3f50bd-b826-32b8-e044-0003ba298018,2.057.000,151,1.89,964
Stationsvej 39,Langå,Stationsvej 39,8870,56.432045,9.9555025,9 værelser,Villa,,,E,1795000,Østjylland,0 dag,https://www.boligsiden.dk/addresses/0a3f50c0-44c0-32b8-e044-0003ba298018,2.489.000,263,2.488,909
Nordrøjel 9,Greve,Nordrøjel 9,2670,55.60644,12.317959,5 værelser,Villa,,,C,4395000,Østsjælland,27 dage,https://www.boligsiden.dk/addresses/0a3f50ab-12ce-32b8-e044-0003ba298018,3.447.000,127,3.22,706
Morsbølvej 130,Grindsted,Morsbølvej 130,7200,55.759563,8.815166,5 værelser,Villa,,,A2015,2950000,Sydjylland,7 dage,https://www.boligsiden.dk/addresses/0a3f50b9-8c03-32b8-e044-0003ba298018,1.371.000,187,1.451,1250
Enrumvej 9,Skodsborg,Enrumvej 9,2942,55.838142,12.569136,4 værelser,Villa,,,D,10800000,Nordsjælland,53 dage,https://www.boligsiden.dk/addresses/0a3f50a6-ceac-32b8-e044-0003ba298018,8.692.000,144,8.773,1373
Johannes Ewalds Vej 13B,Hornbæk,Johannes Ewalds Vej 13B,3100,56.087868,12.463234,3 værelser,Villa,,,D,4475000,Nordsjælland,28 dage,https://www.boligsiden.dk/addresses/0a3f50a9-4b65-32b8-e044-0003ba298018,3.696.000,85,4.189,800
Kvisselholtvej 7,Dronninglund,Kvisselholtvej 7,9330,57.22528,10.288554,4 værelser,Villa,,,C,895000,Nordjylland,300 dage,https://www.boligsiden.dk/addresses/0a3f50c7-0de0-32b8-e044-0003ba298018,772.000,147,1.169,788
Kærvej 1,Odense SØ,Kærvej 1,5220,55.36036,10.466748,4 værelser,Villa,,,D,2195000,Fyn,57 dage,https://www.boligsiden.dk/addresses/0a3f50b4-3e0e-32b8-e044-0003ba298018,1.824.000,135,2.738,2652
Pejmarksvej 15,Grenaa,Pejmarksvej 15,8500,56.46369,10.868715,3 værelser,Villa,,,E,495000,Østjylland,21 dage,https://www.boligsiden.dk/addresses/0a3f50c0-8801-32b8-e044-0003ba298018,825.000,74,1.514,800
Egevænget 46,Stenstrup,Egevænget 46,5771,55.134647,10.507358,4 værelser,Villa,,,F,895000,Fyn,43 dage,https://www.boligsiden.dk/addresses/0a3f50b2-7693-32b8-e044-0003ba298018,1.052.000,120,1.42,1370
Ahornvej 14,Dragør,Ahornvej 14,2791,55.573257,12.618286,5 værelser,Villa,,,D,4495000,Byen København,74 dage,https://www.boligsiden.dk/addresses/0a3f50a3-8126-32b8-e044-0003ba298018,4.295.000,136,4.299,1216
Bakkevej 24,Støvring,Bakkevej 24,9530,56.8947,9.830739,6 værelser,Villa,,,C,3495000,Nordjylland,7 dage,https://www.boligsiden.dk/addresses/0a3f50c9-5b17-32b8-e044-0003ba298018,2.695.000,222,2.43,784
Jonnasvej 3,Liseleje,Jonnasvej 3,3360,56.005753,11.982292,5 værelser,Villa,,,D,2295000,Nordsjælland,27 dage,https://www.boligsiden.dk/addresses/0a3f50a8-85d5-32b8-e044-0003ba298018,2.058.000,141,2.774,887
Solvangsvej 56,Brønderslev,Solvangsvej 56,9700,57.265644,9.964703,6 værelser,Villa,,,D,1850000,Nordjylland,55 dage,https://www.boligsiden.dk/addresses/0a3f50c6-f9c1-32b8-e044-0003ba298018,1.478.000,161,1.864,910
Knuds Alle 26,Kongens Lyngby,Knuds Alle 26,2800,55.7534,12.484972,4 værelser,Villa,,,B,4995000,Københavns omegn,6 dage,https://www.boligsiden.dk/addresses/0a3f50a4-60af-32b8-e044-0003ba298018,4.707.000,96,4.209,641
Otte Ruds Vej 36,Horsens,Otte Ruds Vej 36,8700,55.875595,9.848589,4 værelser,Villa,,,E,1095000,Østjylland,280 dage,https://www.boligsiden.dk/addresses/0a3f50bb-7d97-32b8-e044-0003ba298018,1.285.000,104,1.567,733
Lyshøjvej 9,Vemmelev,Lyshøjvej 9,4241,55.37514,11.261458,4 værelser,Villa,,,E,1195000,Vest- og Sydsjælland,5 dage,https://www.boligsiden.dk/addresses/0a3f50ad-e092-32b8-e044-0003ba298018,1.036.000,114,1.252,424
Møllevangsvej 79,Randers SV,Møllevangsvej 79,8940,56.415504,10.017427,7 værelser,Villa,,,C,1795000,Østjylland,2 dage,https://www.boligsiden.dk/addresses/0a3f50c1-1637-32b8-e044-0003ba298018,1.087.000,162,1.756,735
Indertoften 74,Herning,Indertoften 74,7400,56.102543,8.9878845,6 værelser,Villa,,,B,2875000,Vestjylland,40 dage,https://www.boligsiden.dk/addresses/0a3f50bd-7b41-32b8-e044-0003ba298018,1.860.000,172,2.742,800
Nygade 2,Sindal,Nygade 2,9870,57.47338,10.199368,4 værelser,Villa,,,D,800000,Nordjylland,19 dage,https://www.boligsiden.dk/addresses/0a3f50c9-1b02-32b8-e044-0003ba298018,914.000,176,1.161,876
Rønnevangsparken 28,Gedved,Rønnevangsparken 28,8751,55.923122,9.84076,4 værelser,Villa,,,B,2145000,Østjylland,7 dage,https://www.boligsiden.dk/addresses/4eca26b5-f8b0-6765-e044-0003ba298018,1.741.000,108,1.639,415
Kildedalsvej 15,Skals,Kildedalsvej 15,8832,56.557213,9.407328,8 værelser,Villa,,,C,1995000,Vestjylland,Til salg i alt:21dage,https://www.boligsiden.dk/addresses/0a3f50c5-6e5e-32b8-e044-0003ba298018,1.744.000,233,1.977,1760
Ved Gadekæret 20,Ølstykke,Ved Gadekæret 20,3650,55.780903,12.171186,4 værelser,Villa,,,D,2750000,Nordsjælland,22 dage,https://www.boligsiden.dk/addresses/0a3f50aa-c633-32b8-e044-0003ba298018,2.162.000,103,3.056,785
Mellemgade 24,Nibe,Mellemgade 24,9240,56.98353,9.6359005,3 værelser,Villa,,,C,1595000,Nordjylland,40 dage,https://www.boligsiden.dk/addresses/0a3f50c8-b8e9-32b8-e044-0003ba298018,1.553.000,117,1.133,208
Kvistrupvej 32,Haderslev,Kvistrupvej 32,6100,55.263474,9.634132,5 værelser,Villa,,,F,795000,Sydjylland,Til salg i alt:62dage,https://www.boligsiden.dk/addresses/0a3f50b6-c6da-32b8-e044-0003ba298018,959.000,132,1.574,2790
Vilhelm Becks Vej 69,Frederikshavn,Vilhelm Becks Vej 69,9900,57.477867,10.474958,4 værelser,Villa,,,D,1145000,Nordjylland,33 dage,https://www.boligsiden.dk/addresses/0a3f50c7-96c0-32b8-e044-0003ba298018,1.288.000,148,1.644,1007
Lundbyesgade 11,Aalborg,Lundbyesgade 11,9000,57.044327,9.952065,5 værelser,Villa,,,E,1845000,Nordjylland,62 dage,https://www.boligsiden.dk/addresses/0a3f50ca-59ea-32b8-e044-0003ba298018,2.241.000,110,2.139,394
Vestre Grootsvej 14,Solrød Strand,Vestre Grootsvej 14,2680,55.540665,12.226532,6 værelser,Villa,,,C,6495000,Østsjælland,7 dage,https://www.boligsiden.dk/addresses/0a3f50ac-6f44-32b8-e044-0003ba298018,5.448.000,170,4.611,849
Askimvej 24,Virum,Askimvej 24,2830,55.794586,12.459146,3 værelser,Villa,,,D,6495000,Københavns omegn,65 dage,https://www.boligsiden.dk/addresses/0a3f50a6-0fed-32b8-e044-0003ba298018,6.935.000,72,5.551,630
Grønnegade 7,Ikast,Grønnegade 7,7430,56.14012,9.1535635,5 værelser,Villa,,,C,1795000,Vestjylland,44 dage,https://www.boligsiden.dk/addresses/0a3f50be-444b-32b8-e044-0003ba298018,1.561.000,168,1.544,589
Bakkevej 8,Rønde,Bakkevej 8,8410,56.30496,10.402418,4 værelser,Villa,,,E,2850000,Østjylland,1 dag,https://www.boligsiden.dk/addresses/0a3f50c1-9402-32b8-e044-0003ba298018,2.084.000,138,2.262,727
Stakladen 1,Vestbjerg,Stakladen 1,9380,57.13258,9.953682,4 værelser,Villa,,,D,2795000,Nordjylland,113 dage,https://www.boligsiden.dk/addresses/0a3f50ca-bda9-32b8-e044-0003ba298018,2.062.000,169,1.776,1027
Bøgevej 18,Rønnede,Bøgevej 18,4683,55.257927,12.028928,8 værelser,Villa,,,C,2495000,Vest- og Sydsjælland,56 dage,https://www.boligsiden.dk/addresses/0a3f50b1-2972-32b8-e044-0003ba298018,2.353.000,221,2.409,852
Vejruplund 57,Marslev,Vejruplund 57,5290,55.38388,10.52968,6 værelser,Villa,,,C,1995000,Fyn,15 dage,https://www.boligsiden.dk/addresses/0a3f50b3-0c2b-32b8-e044-0003ba298018,1.456.000,182,1.599,737
Abelonelundvej 56,Middelfart,Abelonelundvej 56,5500,55.524193,9.806585,5 værelser,Villa,,,C,2895000,Fyn,Til salg i alt:235dage,https://www.boligsiden.dk/addresses/0a3f50b3-159e-32b8-e044-0003ba298018,1.679.000,152,1.634,905
Hedeskrænten 42,Viborg,Hedeskrænten 42,8800,56.47022,9.449224,5 værelser,Villa,,,D,2195000,Vestjylland,20 dage,https://www.boligsiden.dk/addresses/0a3f50c6-6aed-32b8-e044-0003ba298018,1.974.000,158,2.041,837
Drosselvej 27,Bøvlingbjerg,Drosselvej 27,7650,56.43311,8.2063055,5 værelser,Villa,,,C,995000,Vestjylland,71 dage,https://www.boligsiden.dk/addresses/0a3f50be-690f-32b8-e044-0003ba298018,599.000,148,990.0,920
Norgaardsvej 26,Skive,Norgaardsvej 26,7800,56.575596,9.024905,4 værelser,Villa,,,D,945000,Vestjylland,62 dage,https://www.boligsiden.dk/addresses/0a3f50c5-aab4-32b8-e044-0003ba298018,965.000,115,1.387,660
Dølbyvej 139,Skive,Dølbyvej 139,7800,56.585213,9.003701,4 værelser,Villa,,,C,1595000,Vestjylland,22 dage,https://www.boligsiden.dk/addresses/0a3f50c5-90cd-32b8-e044-0003ba298018,1.039.000,133,1.341,700
Velling Kirkeby 71,Ringkøbing,Velling Kirkeby 71,6950,56.050907,8.313474,4 værelser,Villa,,,E,998000,Vestjylland,287 dage,https://www.boligsiden.dk/addresses/0a3f50be-accc-32b8-e044-0003ba298018,825.000,118,1.198,808
Danhaven 37B,Valby,Danhaven 37B,2500,55.649284,12.495611,4 værelser,Villa,,,,7695000,Byen København,Til salg i alt:7dage,https://www.boligsiden.dk/addresses/96999b40-725a-4486-8835-10a8a2d4c3e7,8.393.000,148,4.714,370
Sibeliusvej 20,Herning,Sibeliusvej 20,7400,56.106995,8.972565,4 værelser,Villa,,,D,1495000,Vestjylland,262 dage,https://www.boligsiden.dk/addresses/0a3f50bd-a053-32b8-e044-0003ba298018,1.550.000,142,2.099,735
Uffesgade 14,Brønderslev,Uffesgade 14,9700,57.278347,9.960985,5 værelser,Villa,,,D,1895000,Nordjylland,281 dage,https://www.boligsiden.dk/addresses/0a3f50c6-ff0f-32b8-e044-0003ba298018,1.280.000,126,1.677,741
Gl Strandvej 109,Middelfart,Gl Strandvej 109,5500,55.518257,9.761926,1 værelser,Villa,,,D,3195000,Fyn,68 dage,https://www.boligsiden.dk/addresses/0a3f50b3-2185-32b8-e044-0003ba298018,2.117.000,58,1.908,194
Smalfort 3,Egtved,Smalfort 3,6040,55.614746,9.310556,5 værelser,Villa,,,C,1195000,Sydjylland,9 dage,https://www.boligsiden.dk/addresses/0a3f50ba-79af-32b8-e044-0003ba298018,780.000,114,1.104,563
Glinkavej 4,Aalborg SV,Glinkavej 4,9200,57.006966,9.822387,5 værelser,Villa,,,C,2599000,Nordjylland,56 dage,https://www.boligsiden.dk/addresses/0a3f50ca-04de-32b8-e044-0003ba298018,2.448.000,141,2.928,877
Parcelgårdsvej 8,Slagelse,Parcelgårdsvej 8,4200,55.391182,11.36925,5 værelser,Villa,,,C,2395000,Vest- og Sydsjælland,326 dage,https://www.boligsiden.dk/addresses/0a3f50ae-b0a2-32b8-e044-0003ba298018,1.504.000,132,2.23,985
Hovedgaden 95,Faxe Ladeplads,Hovedgaden 95,4654,55.223747,12.1837435,8 værelser,Villa,,,,3495000,Vest- og Sydsjælland,241 dage,https://www.boligsiden.dk/addresses/0a3f50af-7551-32b8-e044-0003ba298018,3.982.000,201,3.39,1881
Bakkesvinget 29,Kruså,Bakkesvinget 29,6340,54.84893,9.388922,3 værelser,Villa,,,E,795000,Sydjylland,7 dage,https://www.boligsiden.dk/addresses/0a3f50b6-49d2-32b8-e044-0003ba298018,994.000,132,1.55,1114
Kirkegårdsvej 1,Thisted,Kirkegårdsvej 1,7700,56.95278,8.690227,6 værelser,Villa,,,D,2298000,Nordjylland,63 dage,https://www.boligsiden.dk/addresses/0a3f50c6-1787-32b8-e044-0003ba298018,1.723.000,206,1.946,303
Bregnevej 43,Maribo,Bregnevej 43,4930,54.77604,11.523554,7 værelser,Villa,,,C,1995000,Vest- og Sydsjælland,Til salg i alt:533dage,https://www.boligsiden.dk/addresses/0a3f50af-c50d-32b8-e044-0003ba298018,2.349.000,250,2.541,971
Myntevej 5,Holstebro,Myntevej 5,7500,56.36496,8.6801605,5 værelser,Villa,,,A2015,3550000,Vestjylland,5 dage,https://www.boligsiden.dk/addresses/ed6cf77e-c094-44ef-b630-3d0354529d0b,,161,2.363,808
Sigynsvej 5,Hjørring,Sigynsvej 5,9800,57.44459,9.984428,5 værelser,Villa,,,C,1850000,Nordjylland,157 dage,https://www.boligsiden.dk/addresses/0a3f50c8-3a10-32b8-e044-0003ba298018,1.265.000,131,1.931,869
Nørengen 37,Gandrup,Nørengen 37,9362,57.03939,10.221791,3 værelser,Villa,,,E,895000,Nordjylland,62 dage,https://www.boligsiden.dk/addresses/0a3f50c7-cefd-32b8-e044-0003ba298018,925.000,165,1.52,13706
Aarsdalevej 59,Svaneke,Aarsdalevej 59,3740,55.114758,15.14309,7 værelser,Villa/Fritidsbolig,,,B,2995000,Bornholm,188 dage,https://www.boligsiden.dk/addresses/0a3f50b1-d2dd-32b8-e044-0003ba298018,3.110.000,186,3.975,2006
Christiansholmsvej 21,Vamdrup,Christiansholmsvej 21,6580,55.414852,9.440597,4 værelser,Villa,,,C,1495000,Sydjylland,35 dage,https://www.boligsiden.dk/addresses/0a3f50bc-8baa-32b8-e044-0003ba298018,1.010.000,126,1.559,800
Hovedgaden 1,Holstebro,Hovedgaden 1,7500,56.320694,8.709408,1 værelser,Villa,,,C,1095000,Vestjylland,302 dage,https://www.boligsiden.dk/addresses/0a3f50be-0277-32b8-e044-0003ba298018,621.000,85,1.755,983
Kinchsvej 12,Ribe,Kinchsvej 12,6760,55.328953,8.781472,5 værelser,Villa,,,D,3698000,Sydjylland,Til salg i alt:46dage,https://www.boligsiden.dk/addresses/0a3f50b9-c6e4-32b8-e044-0003ba298018,2.514.000,145,2.157,697
Blomstervangen 60,Varde,Blomstervangen 60,6800,55.60841,8.475967,6 værelser,Villa,,,D,2250000,Sydjylland,50 dage,https://www.boligsiden.dk/addresses/0a3f50b9-dfcd-32b8-e044-0003ba298018,2.067.000,173,2.536,840
Havremarken 72,Hanstholm,Havremarken 72,7730,57.10963,8.622482,6 værelser,Villa,,,C,1689000,Nordjylland,765 dage,https://www.boligsiden.dk/addresses/0a3f50c4-f911-32b8-e044-0003ba298018,1.350.000,193,1.516,799
Rantzausvænget 8,Bredebro,Rantzausvænget 8,6261,55.010227,8.782681,4 værelser,Villa,,,A2020,925000,Sydjylland,6 dage,https://www.boligsiden.dk/addresses/4eca26b5-f7e2-6765-e044-0003ba298018,674.000,130,970.0,1056
Høgevej 53,Aarhus V,Høgevej 53,8210,56.172276,10.171627,4 værelser,Villa,,,F,3198000,Østjylland,148 dage,https://www.boligsiden.dk/addresses/0a3f50c4-51a6-32b8-e044-0003ba298018,2.761.000,85,2.998,1056
Hårbøllevej 91,Askeby,Hårbøllevej 91,4792,54.88203,12.149326,10 værelser,Villa,,,,12475000,Vest- og Sydsjælland,23 dage,https://www.boligsiden.dk/addresses/0a3f50af-e3f7-32b8-e044-0003ba298018,4.303.000,220,5.014,11763
Slagelsevej 23,Slagelse,Slagelsevej 23,4200,55.3321,11.390107,4 værelser,Villa,,,D,1295000,Vest- og Sydsjælland,Til salg i alt:65dage,https://www.boligsiden.dk/addresses/0a3f50ad-05dc-32b8-e044-0003ba298018,795.000,113,1.56,2166
Majvænget 11,Kolding,Majvænget 11,6000,55.524673,9.472368,7 værelser,Villa,,,B,3195000,Sydjylland,7 dage,https://www.boligsiden.dk/addresses/0a3f50bc-2171-32b8-e044-0003ba298018,2.847.000,245,2.639,1012
Byvænget 13,Skive,Byvænget 13,7800,56.551743,9.072712,4 værelser,Villa,,,D,695000,Vestjylland,441 dage,https://www.boligsiden.dk/addresses/0a3f50c5-8d3c-32b8-e044-0003ba298018,890.000,121,1.281,817
Mejslingvej 30,Vejle,Mejslingvej 30,7100,55.65859,9.441854,6 værelser,Villa,,,B,2175000,Sydjylland,2 dage,https://www.boligsiden.dk/addresses/0a3f50ba-7466-32b8-e044-0003ba298018,2.192.000,179,2.424,1629
Præstevænget 1,Horsens,Præstevænget 1,8700,55.820763,9.792156,5 værelser,Villa,,,C,2328000,Østjylland,7 dage,https://www.boligsiden.dk/addresses/0a3f50bb-8053-32b8-e044-0003ba298018,2.328.000,158,1.985,2361
Lyngvej 7,Skørping,Lyngvej 7,9520,56.83276,9.852484,4 værelser,Villa,,,C,2995000,Nordjylland,53 dage,https://www.boligsiden.dk/addresses/0a3f50c9-510b-32b8-e044-0003ba298018,2.157.000,157,2.538,1594
Havremarken 30,Odense S,Havremarken 30,5260,55.365707,10.4018135,5 værelser,Villa,,,B,3299000,Fyn,1 dag,https://www.boligsiden.dk/addresses/0a3f50b3-f860-32b8-e044-0003ba298018,3.086.000,130,2.303,341
Rahbeks Have 8,Holbæk,Rahbeks Have 8,4300,55.715313,11.74774,5 værelser,Villa,,,C,4495000,Vest- og Sydsjælland,2 dage,https://www.boligsiden.dk/addresses/0a3f50ad-5e5a-32b8-e044-0003ba298018,3.050.000,163,3.171,817
Rypevej 1,Rønnede,Rypevej 1,4683,55.25289,12.030171,6 værelser,Villa,,,C,2645000,Vest- og Sydsjælland,41 dage,https://www.boligsiden.dk/addresses/0a3f50b1-30c5-32b8-e044-0003ba298018,2.009.000,179,2.179,863
Bakkekvarteret Bolig 28,Frederikssund,Bakkekvarteret Bolig 28,3600,,,3 værelser,Villa,,,A2020,2675000,Nordsjælland,5 dage,https://www.boligsiden.dk/addresses/bd09301e-f04f-4a80-9f68-d86d148f3c69,,85,3.35,161
Skyttemarksvej 77,Næstved,Skyttemarksvej 77,4700,55.229294,11.7808275,4 værelser,Villa,,,E,1295000,Vest- og Sydsjælland,36 dage,https://www.boligsiden.dk/addresses/0a3f50b0-c24a-32b8-e044-0003ba298018,1.511.000,108,2.468,443
Mårvænget 16,Søborg,Mårvænget 16,2860,55.74756,12.46766,4 værelser,Villa,,,D,4495000,Københavns omegn,5 dage,https://www.boligsiden.dk/addresses/0a3f50a4-6f37-32b8-e044-0003ba298018,4.223.000,114,3.708,686
Diernæs Strandby 84,Haderslev,Diernæs Strandby 84,6100,55.155983,9.492171,7 værelser,Villa/Fritidsbolig,,,,1995000,Sydjylland,16 dage,https://www.boligsiden.dk/addresses/0a3f50b6-afb4-32b8-e044-0003ba298018,1.344.000,109,1.437,749
Kornblomstvej 41,Aalborg,Kornblomstvej 41,9000,57.03105,9.904526,3 værelser,Villa,,,D,3895000,Nordjylland,Til salg i alt:15dage,https://www.boligsiden.dk/addresses/0a3f50ca-4589-32b8-e044-0003ba298018,3.418.000,120,2.394,473
Kirkebakken 22,Havndal,Kirkebakken 22,8970,56.635387,10.218036,22 værelser,Villa,,,E,1895000,Østjylland,293 dage,https://www.boligsiden.dk/addresses/0a3f50c0-6e59-32b8-e044-0003ba298018,2.409.000,690,5.516,24763
Højtoftevej 34,Thisted,Højtoftevej 34,7700,56.960613,8.699633,4 værelser,Villa,,,D,1175000,Nordjylland,15 dage,https://www.boligsiden.dk/addresses/0a3f50c6-1367-32b8-e044-0003ba298018,1.213.000,135,1.56,870
Strib Landevej 78,Middelfart,Strib Landevej 78,5500,55.525356,9.784521,6 værelser,Villa,,,E,2650000,Fyn,228 dage,https://www.boligsiden.dk/addresses/0a3f50b3-36fb-32b8-e044-0003ba298018,2.707.000,193,3.071,4340
